name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Roger Huerta,300,90,160,0,0,0,50,154,0,654,140003946
Vinc Pichel,100,0,480,0,0,0,75,148,0,653,140000437
Michal Oleksiejczuk,600,0,0,0,70,0,100,80,0,650,140000120
Erik Perez,200,90,240,0,70,0,50,99,0,649,140004743
Chris Camozzi,100,90,320,0,140,0,250,248,0,648,140004393
Paulo Costa,400,0,160,0,0,0,50,87,50,647,140000556
Spencer Fisher,200,180,320,0,0,0,200,147,0,647,140004039
Chris Cariaso,100,0,320,0,140,0,150,209,25,644,140003771
Patrick Cote,400,0,320,0,70,0,275,104,25,644,140004147
Gabriel Benitez,300,180,160,0,0,0,150,153,0,643,140000554
Jack Della Maddalena,300,90,0,0,140,0,0,111,0,641,140001190
Mark Coleman,300,270,80,0,0,0,125,116,0,641,140002537
Rousimar Palhares,0,540,160,0,0,0,100,40,0,640,140004534
Amanda Ribas,0,180,320,0,0,0,75,210,0,635,140000432
JJ Aldrich,100,0,480,0,70,0,125,109,0,634,140000210
Trevin Giles,300,0,160,0,140,0,125,157,0,632,140000353
Tim Elliott,0,90,560,0,0,0,250,206,25,631,140000632
Nordine Taleb,200,0,320,0,70,0,125,166,0,631,140000316
Alexandr Romanov,100,270,80,0,70,0,50,160,0,630,140000903
Michel Pereira,100,90,240,0,70,0,50,180,0,630,140000357
Jack Shore,0,270,160,0,70,0,25,154,0,629,140000616
Bryce Mitchell,0,90,400,75,0,0,25,89,0,629,140000209
Jimmie Rivera,100,0,400,0,70,0,100,132,25,627,140000085
Cody Stamann,100,0,320,0,140,0,125,189,0,624,140000134
Stephan Bonnar,200,180,320,0,0,0,175,97,0,622,140001913
Stevie Ray,200,0,160,150,70,0,100,142,0,622,140000378
Lauren Murphy,200,90,160,0,210,0,150,84,25,619,140000517
Cezar Ferreira,0,270,320,0,140,0,150,38,0,618,140000466
Vladimir Matyushenko,300,0,240,0,70,0,125,108,25,618,140003963
Carlos Ulberg,300,90,80,0,0,0,25,172,0,617,140001056
Norma Dumont,0,0,400,0,70,0,50,170,25,615,140000891
